Common Fish Name,Temperament,Grows To,Starting Tank Size,Typical Color,CB's Recommended Fish Food,Fish Care Notes,Temperature Range,Water PH,Water KH,Origin,Plant Safety,Scientific Name,QR,SKU
Angel Glo (Extra Large),Semi-aggressive,"8""",55 Gallon,"Fluorescent neon green, pink, or orange body","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",GloFish angelfish variant. Same cichlid temperament — generally peaceful but territorial at breeding time. Safe with robust plants; avoid pairing with fin-nippers like tiger barbs. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Glo (Extra Large).html,AN15
Angel Glo (Large),Semi-aggressive,"6""",29 Gallon,"Fluorescent neon green, pink, or orange body","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",GloFish angelfish variant. Same cichlid temperament — generally peaceful but territorial at breeding time. Safe with robust plants; avoid pairing with fin-nippers like tiger barbs. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Glo (Large).html,AN14
Angel Glo (Medium),Semi-aggressive,"4""",20 Gallon,"Fluorescent neon green, pink, or orange body","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",GloFish angelfish variant. Same cichlid temperament — generally peaceful but territorial at breeding time. Safe with robust plants; avoid pairing with fin-nippers like tiger barbs. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Glo (Medium).html,AN12
Angel Glo (Small),Semi-aggressive,"2""",10 Gallon,"Fluorescent neon green, pink, or orange body","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",GloFish angelfish variant. Same cichlid temperament — generally peaceful but territorial at breeding time. Safe with robust plants; avoid pairing with fin-nippers like tiger barbs. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Glo (Small).html,AN11
Angel Koi (Extra Large),Semi-aggressive,"8""",55 Gallon,"Calico pattern of orange, white, and black blotches","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Koi-pattern angelfish — same species and temperament. Peaceful community fish but can be territorial. Thrives in planted tanks with tall species like Amazon sword and vallisneria. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi (Extra Large).html,AN20
Angel Koi (Large),Semi-aggressive,"6""",29 Gallon,"Calico pattern of orange, white, and black blotches","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Koi-pattern angelfish — same species and temperament. Peaceful community fish but can be territorial. Thrives in planted tanks with tall species like Amazon sword and vallisneria. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi (Large).html,AN19
Angel Koi (Medium),Semi-aggressive,"4""",20 Gallon,"Calico pattern of orange, white, and black blotches","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Koi-pattern angelfish — same species and temperament. Peaceful community fish but can be territorial. Thrives in planted tanks with tall species like Amazon sword and vallisneria. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi (Medium).html,AN17
Angel Koi (Small),Semi-aggressive,"2""",10 Gallon,"Calico pattern of orange, white, and black blotches","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Koi-pattern angelfish — same species and temperament. Peaceful community fish but can be territorial. Thrives in planted tanks with tall species like Amazon sword and vallisneria. Prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi (Small).html,AN16
Angel Koi Dark (Extra Large),Semi-aggressive,"8""",55 Gallon,Calico orange and white with heavy black marbling,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Darker koi-pattern angelfish — same species and care. Peaceful but territorial during breeding. Thrives in planted tanks with tall, hardy plants. Prefers tall tanks.",75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi Dark (Extra Large).html,AN25
Angel Koi Dark (Large),Semi-aggressive,"6""",29 Gallon,Calico orange and white with heavy black marbling,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Darker koi-pattern angelfish — same species and care. Peaceful but territorial during breeding. Thrives in planted tanks with tall, hardy plants. Prefers tall tanks.",75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi Dark (Large).html,AN24
Angel Koi Dark (Medium),Semi-aggressive,"4""",20 Gallon,Calico orange and white with heavy black marbling,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Darker koi-pattern angelfish — same species and care. Peaceful but territorial during breeding. Thrives in planted tanks with tall, hardy plants. Prefers tall tanks.",75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi Dark (Medium).html,AN22
Angel Koi Dark (Small),Semi-aggressive,"2""",10 Gallon,Calico orange and white with heavy black marbling,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Darker koi-pattern angelfish — same species and care. Peaceful but territorial during breeding. Thrives in planted tanks with tall, hardy plants. Prefers tall tanks.",75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi Dark (Small).html,AN21
Angel Koi Red (Extra Large),Semi-aggressive,"8""",55 Gallon,High-coverage deep red-orange and white calico,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Red-accented koi angelfish — same species and temperament. Good planted-tank fish with hardy plants. Territorial during breeding; prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi Red (Extra Large).html,AN30
Angel Koi Red (Large),Semi-aggressive,"6""",29 Gallon,High-coverage deep red-orange and white calico,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Red-accented koi angelfish — same species and temperament. Good planted-tank fish with hardy plants. Territorial during breeding; prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi Red (Large).html,AN29
Angel Koi Red (Medium),Semi-aggressive,"4""",20 Gallon,High-coverage deep red-orange and white calico,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Red-accented koi angelfish — same species and temperament. Good planted-tank fish with hardy plants. Territorial during breeding; prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi Red (Medium).html,AN27
Angel Koi Red (Small),Semi-aggressive,"2""",10 Gallon,High-coverage deep red-orange and white calico,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Red-accented koi angelfish — same species and temperament. Good planted-tank fish with hardy plants. Territorial during breeding; prefers tall tanks.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Koi Red (Small).html,AN26
Angel Large,Semi-aggressive,"6""",29 Gallon,"Brilliant, solid high-gloss pearl white","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Platinum/silver-white angelfish variant. Identical care and temperament to other angelfish. Tall tanks with robust plants are ideal. Territorial during breeding.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Large.html,2631369
Angel Marble (Extra Large),Semi-aggressive,"8""",55 Gallon,Irregular marbled black and silver patterns,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Marble-patterned angelfish. Same temperament — peaceful but cichlid-territorial. Excellent in tall planted tanks with robust species like Amazon sword or Java fern.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Marble (Extra Large).html,AN35
Angel Marble (Large),Semi-aggressive,"6""",29 Gallon,Irregular marbled black and silver patterns,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Marble-patterned angelfish. Same temperament — peaceful but cichlid-territorial. Excellent in tall planted tanks with robust species like Amazon sword or Java fern.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Marble (Large).html,AN34
Angel Marble (Medium),Semi-aggressive,"4""",20 Gallon,Irregular marbled black and silver patterns,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Marble-patterned angelfish. Same temperament — peaceful but cichlid-territorial. Excellent in tall planted tanks with robust species like Amazon sword or Java fern.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Marble (Medium).html,AN32
Angel Marble (Small),Semi-aggressive,"2""",10 Gallon,Irregular marbled black and silver patterns,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Marble-patterned angelfish. Same temperament — peaceful but cichlid-territorial. Excellent in tall planted tanks with robust species like Amazon sword or Java fern.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Marble (Small).html,AN31
Angel Platinum (Extra Large),Semi-aggressive,"8""",55 Gallon,"Brilliant, solid high-gloss pearl white","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Platinum/silver-white angelfish variant. Identical care and temperament to other angelfish. Tall tanks with robust plants are ideal. Territorial during breeding.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Platinum (Extra Large).html,AN40
Angel Platinum (Large),Semi-aggressive,"6""",29 Gallon,"Brilliant, solid high-gloss pearl white","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Platinum/silver-white angelfish variant. Identical care and temperament to other angelfish. Tall tanks with robust plants are ideal. Territorial during breeding.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Platinum (Large).html,AN39
Angel Platinum (Medium),Semi-aggressive,"4""",20 Gallon,"Brilliant, solid high-gloss pearl white","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Platinum/silver-white angelfish variant. Identical care and temperament to other angelfish. Tall tanks with robust plants are ideal. Territorial during breeding.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Platinum (Medium).html,AN37
Angel Platinum (Small),Semi-aggressive,"2""",10 Gallon,"Brilliant, solid high-gloss pearl white","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Platinum/silver-white angelfish variant. Identical care and temperament to other angelfish. Tall tanks with robust plants are ideal. Territorial during breeding.,75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Platinum (Small).html,AN36
Angel Silver (Extra Large),Semi-aggressive,"8""",55 Gallon,Classic wild-type silver with dark vertical bars,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Classic silver angelfish — the original wild-type coloration. Peaceful for a cichlid; territorial during breeding. Does well in planted tanks with tall, hardy plants.",75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Silver (Extra Large).html,AN45
Angel Silver (Large),Semi-aggressive,"6""",29 Gallon,Classic wild-type silver with dark vertical bars,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Classic silver angelfish — the original wild-type coloration. Peaceful for a cichlid; territorial during breeding. Does well in planted tanks with tall, hardy plants.",75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Silver (Large).html,AN44
Angel Silver (Medium),Semi-aggressive,"4""",20 Gallon,Classic wild-type silver with dark vertical bars,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Classic silver angelfish — the original wild-type coloration. Peaceful for a cichlid; territorial during breeding. Does well in planted tanks with tall, hardy plants.",75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Silver (Medium).html,AN42
Angel Silver (Small),Semi-aggressive,"2""",10 Gallon,Classic wild-type silver with dark vertical bars,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Classic silver angelfish — the original wild-type coloration. Peaceful for a cichlid; territorial during breeding. Does well in planted tanks with tall, hardy plants.",75-84°F,6.0-7.5,2-8 dKH,South America (Amazon River Basin),Caution,Pterophyllum scalare,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Angel Silver (Small).html,AN41
Apisto Bebas,Peaceful; semi-aggressive when breeding,"2.5-3""",10 Gallon,"Yellow-orange body, blue facial markings","Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine","Soft/acidic water dwarf cichlid; keep in pairs or harems with caves, driftwood and leaf litter; sensitive to water quality",78-84°F,5.5-6.5,1-4 dKH,Peru (Amazon basin),Safe,Apistogramma bebas,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Apisto Bebas.html,5374140
Axolotyl (Large),Semi-aggressive,"12""",55 Gallon,"Leucistic pink, wild olive, or black aquatic salamander","Carnivore. Sinking axolotl pellets, frozen bloodworm cubes, earthworms, and nightcrawlers.","Aquatic salamander, not a fish. Peaceful but will eat small fish and invertebrates. May disturb plants; use robust anchored species. Needs cool water (60-68°F).",60-64°F,7.0-8.0,7-14 dKH,Mexico (Lake Xochimilco),Caution,Ambystoma mexicanum,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Axolotyl (Large).html,MI03
Axolotyl (Small),Semi-aggressive,"3""",10 Gallon,"Leucistic pink, wild olive, or black aquatic salamander","Carnivore. Sinking axolotl pellets, frozen bloodworm cubes, earthworms, and nightcrawlers.","Aquatic salamander, not a fish. Peaceful but will eat small fish and invertebrates. May disturb plants; use robust anchored species. Needs cool water (60-68°F).",60-64°F,7.0-8.0,7-14 dKH,Mexico (Lake Xochimilco),Caution,Ambystoma mexicanum,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Axolotyl (Small).html,MI02
Barb Black Spot,Semi-aggressive,"4""",20 Gallon,Silver-gold body with a prominent black spot near tail,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful to semi-aggressive depending on group size. Keep in schools of 6 or more to reduce fin-nipping. Plant-safe.,77-84°F,6.0-7.5,5-15 dKH,India,Safe,P Dawkinsia filamentosa,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Black Spot.html,BA01
Barb Cherry,Peaceful,"2""",20 Gallon,Deep cherry red or reddish-brown,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Cherry Barb — one of the most peaceful barb species. Excellent community fish; will not nip fins. Loves planted tanks with hiding spots. Keep in groups of 6 or more.,73-81°F,6.0-7.0,4-10 dKH,Sri Lanka,Safe,Puntius titteya,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Cherry.html,BA02
Barb Cherry Albino,Peaceful,"2""",20 Gallon,Pale cream/pink body with bright red eyes,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Albino variant of Cherry Barb; same peaceful temperament and plant-safe behavior. Keep in groups of 6 or more.,73-81°F,6.0-7.0,4-10 dKH,Sri Lanka,Safe,Puntius titteya,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Cherry Albino.html,BA04
Barb Clown,Peaceful,"4""",20 Gallon,"Bold, reddish-gold bodies covered in dark irregular vertical bands and striking red fins","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Must be kept in a group of 6 or more (ideally 10+). When kept alone or in tiny numbers, they can become nippy and stressed.",73-81°F,6.0-7.0,4-10 dKH,"Borneo, Sumatra",Safe,Barbodes everetti,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Clown.html,3110133
Barb Glo,Semi-aggressive,"3""",20 Gallon,Fluorescent Electric Green or Sunburst Orange,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",GloFish barb — active and can be nippy; keep in groups of 6 or more. Plant-safe.,74-80°F,6.0-7.5,4-12 dKH,"Southeast Asia (Borneo, Sumatra)",Safe,Puntigrus tetrazona,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Glo.html,BA05
Barb Gold,Peaceful,"3""",20 Gallon,Bright golden-yellow with small black specks,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Gold barb is a peaceful, hardy schooling fish. Plant-safe and suitable for community tanks. Keep in groups of 6 or more.",64-75°F,6.0-8.0,5-15 dKH,"East Asia (China, Vietnam)",Safe,Barbodes semifasciolatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Gold.html,BA06
Barb Green,Semi-aggressive,"3""",20 Gallon,Deep metallic solid green tiger barb variant,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Active barb; can be nippy in small groups. Keep in schools of 6 or more to reduce aggression. Plant-safe.,74-80°F,6.0-7.5,4-12 dKH,"Southeast Asia (Borneo, Sumatra)",Safe,Puntigrus tetrazona,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Green.html,BA08
Barb Green Tiger,Semi-aggressive,"3""",30 Gallon,Deep metallic solid green with faint vertical stripes,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Color variant of Tiger Barb. Semi-aggressive fin-nipper; keep in large schools of 8 or more to minimize fin-nipping. Plant-safe.,74-80°F,6.0-7.5,4-12 dKH,"Southeast Asia (Borneo, Sumatra)",Safe,Puntigrus tetrazona,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Green Tiger.html,BA09
Barb Jade,Peaceful,"3""",20 Gallon,Uniform light jade green with translucent fins,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Generally peaceful barb. Good community fish when kept in schools. Plant-safe.,74-80°F,6.0-7.5,4-12 dKH,"Southeast Asia (Borneo, Sumatra)",Safe,Puntigrus tetrazona,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Jade.html,BA10
Barb Mascara,Semi-aggressive,"5""",20 Gallon,Silver body with prominent dark eyeliner bars over eyes,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Active barb; may nip fins. Best in schools of 6 or more. Plant-safe.,70-77°F,6.5-7.5,5-12 dKH,India,Safe,Dawkinsia assimilis,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Mascara.html,BA12
Barb Odessa,Semi-aggressive,"3""",30 Gallon,"Silver body with a broad, brilliant red horizontal band","Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms","Lively, semi-aggressive barb. Can nip fins; keep in schools of 8 or more with similarly active fish. Plant-safe.",70-78°F,6.5-7.5,4-12 dKH,Myanmar,Safe,Pethia padamyas,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Odessa.html,BA14
Barb Panda,Peaceful,"3""",20 Gallon,Silver-gold with thick dark vertical bands/blotches,"Omnivore. Sera San Color Flakes, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful barb suitable for community tanks. Plant-safe.,72-79°F,6.0-7.5,5-12 dKH,India,Safe,Haludaria fasciata,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Barb Panda.html,BA15
